               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,            0.038487,            0.034288,           0.0072508,             0.56091,             0.27142,             0.24918,             0.11773,            0.054892,            0.036583,            0.028309,            0.003994,            0.003994,            0.003994
                  93,            0.038093,            0.030427,            0.006959,             0.52267,             0.25539,             0.23929,             0.11607,            0.052722,            0.036247,            0.028934,            0.003928,            0.003928,            0.003928
                  94,            0.036133,            0.031671,           0.0073048,             0.55217,             0.23017,             0.22658,             0.10759,            0.053175,            0.036751,            0.028774,            0.003862,            0.003862,            0.003862
                  95,            0.036879,            0.031809,           0.0073459,             0.37495,             0.23782,             0.22698,             0.11076,            0.052851,            0.038002,            0.028652,            0.003796,            0.003796,            0.003796
                  96,            0.036025,            0.032604,           0.0067782,             0.68829,             0.20373,             0.23652,             0.10913,             0.05238,            0.038078,            0.028851,             0.00373,             0.00373,             0.00373
                  97,            0.036411,            0.032923,           0.0073453,             0.70483,             0.19724,             0.23762,             0.10818,            0.052785,            0.037704,            0.028049,            0.003664,            0.003664,            0.003664
                  98,            0.035511,            0.027596,           0.0071189,             0.76429,             0.18403,             0.22111,             0.10366,            0.052099,            0.037331,            0.028365,            0.003598,            0.003598,            0.003598
                  99,            0.035741,            0.028027,           0.0061924,              0.7304,             0.16811,             0.20475,            0.087538,             0.05467,            0.037415,            0.028475,            0.003532,            0.003532,            0.003532
                 100,            0.035535,            0.029911,           0.0071639,              0.7443,             0.16765,             0.22021,             0.09756,            0.053609,            0.038261,            0.028315,            0.003466,            0.003466,            0.003466
                 101,            0.033655,            0.032418,            0.006207,             0.74096,             0.17264,             0.21177,             0.10319,            0.054078,            0.038063,            0.028171,              0.0034,              0.0034,              0.0034
                 102,            0.035401,            0.029056,           0.0066618,             0.53649,             0.25364,             0.21925,            0.098935,            0.054391,            0.037865,            0.027883,            0.003334,            0.003334,            0.003334
                 103,            0.036938,            0.032334,           0.0062126,             0.45274,             0.24788,             0.21737,            0.098161,            0.055495,            0.038101,            0.027651,            0.003268,            0.003268,            0.003268
                 104,             0.03503,            0.027615,           0.0064171,             0.73519,             0.17493,             0.22645,             0.11027,            0.053335,             0.03817,            0.027695,            0.003202,            0.003202,            0.003202
                 105,            0.035945,            0.033869,           0.0064957,             0.68422,             0.18874,              0.2247,             0.10505,            0.053861,            0.038292,            0.028094,            0.003136,            0.003136,            0.003136
                 106,            0.034935,            0.029847,           0.0064006,             0.60496,             0.23979,             0.23879,             0.11121,            0.053225,            0.037941,            0.028453,             0.00307,             0.00307,             0.00307
                 107,            0.035474,            0.030115,           0.0058142,             0.54817,             0.23862,              0.2355,             0.11753,            0.051575,            0.038574,            0.028752,            0.003004,            0.003004,            0.003004
                 108,            0.034534,            0.030226,            0.006291,             0.55511,             0.24871,              0.2444,             0.11988,            0.051553,            0.038399,            0.028785,            0.002938,            0.002938,            0.002938
                 109,            0.035575,            0.033861,           0.0053827,             0.54228,             0.23169,             0.23449,             0.11439,            0.052862,            0.038361,            0.029095,            0.002872,            0.002872,            0.002872
                 110,            0.034798,            0.031291,           0.0060995,             0.75083,             0.16808,             0.22579,             0.11944,            0.051962,            0.038475,            0.029476,            0.002806,            0.002806,            0.002806
                 111,            0.033767,            0.028628,            0.005847,             0.82866,             0.16706,             0.21801,             0.11101,            0.052767,            0.038712,            0.030417,             0.00274,             0.00274,             0.00274
